54120	26	66	PC	PC
54140	26	66	PC	PC
54160	24	25	PC	PC
54160	100	37	PC	PC
54180	37	57	PC	PC*
54180	26	57	PC	PC*
54180	26	66	PC	PC
54180	100	66	PC	PC
54180	66	57	PC	PC*
54200	37	57	PC	PC*
54200	100	66	PC	PC
54200	66	37	PC	PC
54200	66	57	PC	PC*
54200	24	47	PC	PSI*
54220	24	25	PC	PC
54220	100	66	PC	PC
54220	66	37	PC	PC
54240	24	25	PC	PC
54240	66	33	PC	PC*
54240	26	66	PC	PC
54240	100	66	PC	PC
54260	66	33	PC	PC*
54260	100	66	PC	PC
54280	24	25	PC	PC
54280	100	66	PC	PC
54300	24	25	PC	PC
54300	25	57	PC	PC*
54300	24	57	PC	PC*
54300	100	66	PC	PC
54320	24	25	PC	PC
54320	25	57	PC	PC*
54340	24	25	PC	PC
54340	66	33	PC	PC*
54340	100	33	PC	PC*
54340	66	37	PC	PC
54340	37	33	PC	PC*
54360	100	33	PC	PC*
54360	100	66	PC	PC
54360	37	33	PC	PC*
54380	100	33	PC	PC*
54380	100	66	PC	PC
54380	37	33	PC	PC*
54400	100	37	PC	PC
54400	66	33	PC	PC*
54400	100	33	PC	PC*
54400	100	66	PC	PC
54400	66	37	PC	PC
54400	37	33	PC	PC*
54420	66	37	PC	PC
54440	100	66	PC	PC
54460	66	37	PC	PC
54460	44	47	PC*	PSI*
54480	26	66	PC	PC
54480	100	66	PC	PC
54480	66	37	PC	PC
54500	100	37	PC	PC
54500	26	66	PC	PC
54500	100	66	PC	PC
54500	66	37	PC	PC
54500	26	37	PC	PC
54520	100	37	PC	PC
54520	35	47	PSI*	PSI*
54520	100	66	PC	PC
54520	66	37	PC	PC
54540	100	37	PC	PC
54540	106	45	PC	PC*
54540	94	30	PC*	PC*
54540	100	66	PC	PC
54540	66	37	PC	PC
54560	106	45	PC	PC*
54560	106	66	PC	PC
54560	100	66	PC	PC
54560	66	37	PC	PC
54580	21	84	PSI*	PSI*
54580	57	4	PC*	PC*
54580	66	45	PC	PC*
54580	106	66	PC	PC
54580	106	100	PC	PC
54580	100	66	PC	PC
54580	66	37	PC	PC
54600	106	45	PC	PC*
54600	66	33	PC	PC*
54600	106	37	PC	PC
54600	100	45	PC	PC*
54600	106	66	PC	PC
54600	113	119	PC*	PC*
54600	106	100	PC	PC
54600	100	66	PC	PC
54620	106	45	PC	PC*
54620	66	45	PC	PC*
54620	94	109	PC*	PC*
54620	41	10	PSI*	PSI*
54620	100	45	PC	PC*
54620	26	33	PC	PC*
54620	106	100	PC	PC
54620	28	100	PC	PC
54620	100	66	PC	PC
54620	37	33	PC	PC*
54620	26	37	PC	PC
54640	13	47	PSI*	PSI*
54640	106	45	PC	PC*
54640	86	89	PSI*	PSI*
54640	90	44	PC*	PC*
54640	94	109	PC*	PC*
54640	41	10	PSI*	PSI*
54640	100	45	PC	PC*
54640	106	66	PC	PC
54640	28	45	PC	PC*
54640	106	100	PC	PC
54640	28	100	PC	PC
54640	100	66	PC	PC
54640	37	33	PC	PC*
54660	13	47	PSI*	PSI*
54660	106	45	PC	PC*
54660	86	89	PSI*	PSI*
54660	90	44	PC*	PC*
54660	66	33	PC	PC*
54660	41	10	PSI*	PSI*
54660	100	45	PC	PC*
54660	106	66	PC	PC
54660	28	45	PC	PC*
54660	26	33	PC	PC*
54660	106	100	PC	PC
54660	28	100	PC	PC
54660	80	13	PC*	PSI*
54660	100	66	PC	PC
54660	26	37	PC	PC
54680	66	33	PC	PC*
54680	66	45	PC	PC*
54680	94	109	PC*	PC*
54680	30	44	PC*	PC*
54680	28	66	PC	PC
54680	41	10	PSI*	PSI*
54680	106	66	PC	PC
54680	26	33	PC	PC*
54680	106	100	PC	PC
54680	28	100	PC	PC
54680	100	66	PC	PC
54680	23	69	PC	PC*
54680	90	77	PC*	PC*
54680	23	59	PC	PC*
54680	94	44	PC*	PC*
54700	28	33	PC	PC*
54700	66	33	PC	PC*
54700	66	45	PC	PC*
54700	94	109	PC*	PC*
54700	28	66	PC	PC
54700	41	10	PSI*	PSI*
54700	100	45	PC	PC*
54700	106	66	PC	PC
54700	40	13	PC*	PSI*
54700	70	105	PC*	PC*
54700	26	33	PC	PC*
54700	28	100	PC	PC
54700	100	66	PC	PC
54700	90	77	PC*	PC*
54700	24	12	PC	PC*
54700	24	13	PC	PSI*
54700	23	59	PC	PC*
54700	94	44	PC*	PC*
54720	57	4	PC*	PC*
54720	28	104	PC	PC
54720	66	45	PC	PC*
54720	94	109	PC*	PC*
54720	41	10	PSI*	PSI*
54720	100	45	PC	PC*
54720	56	66	PC	PC
54720	106	66	PC	PC
54720	24	40	PC	PC*
54720	40	13	PC*	PSI*
54720	56	106	PC	PC
54720	106	100	PC	PC
54720	28	106	PC	PC
54720	28	100	PC	PC
54720	100	66	PC	PC
54720	12	13	PC*	PSI*
54720	100	104	PC	PC
54720	24	13	PC	PSI*
54740	21	84	PSI*	PSI*
54740	57	4	PC*	PC*
54740	109	3	PC*	PC*
54740	41	10	PSI*	PSI*
54740	40	12	PC*	PC*
54740	56	66	PC	PC
54740	106	66	PC	PC
54740	40	13	PC*	PSI*
54740	56	106	PC	PC
54740	59	69	PC*	PC*
54740	121	114	teacher	PSI*
54740	104	66	PC	PC
54740	93	62	PC*	PC
54740	66	37	PC	PC
54740	12	13	PC*	PSI*
54740	24	12	PC	PC*
54740	56	45	PC	PC*
